"","start_station_name","member_casual","num_of_rides"
"640","Pulaski Rd & 21st St","member",59
"641","Big Marsh Park","member",58
"642","Central Park & Augusta Blvd","member",58
"643","Yates Blvd & 93rd St","member",58
"644","Baltimore Ave & 87th St","member",57
"645","Cicero Ave & Wellington Ave","member",57
"646","Eberhart Ave & 91st St","member",56
"647","Komensky Ave & 31st St","member",56
"648","Lincoln Ave & Peterson Ave","member",55
"649","Meade Ave & Diversey Ave","member",55
"650","Shields Ave & 43rd St","member",55
"651","Central Ave & Harrison St","member",54
"652","N Damen Ave & W Chicago Ave","member",54
"653","Eggleston Ave & 92nd St","member",53
"654","Halsted St & 104th St","member",53
"655","Stewart Ave & 63rd St","member",53
"656","Commercial Ave & 83rd St","member",50
"657","Greenwood Ave & 97th St","member",50
"658","Houston Ave & 92nd St","member",50
"659","Washtenaw Ave & Polk St","member",50
"660","Ashland Ave & 50th St","member",48
"661","Cottage Grove Ave & 78th St","member",48
"662","Lawler Ave & 50th St","member",48
"663","Ashland Ave & 78th St","member",47
"664","Nordica & Medill","member",47
"665","Yates Blvd & 75th St","member",47
"666","Ping Tom Park (East)","member",46
"667","Cicero Ave & Flournoy St","member",45
"668","Narragansett & McLean","member",45
"669","S Aberdeen St & W 106th St","member",45
"670","Sacramento Blvd & Fulton Ave","member",45
"671","Kedzie Ave & 52nd St","member",44
"672","Racine Ave & Garfield Blvd","member",44
"673","Archer Ave & 43rd St","member",43
"674","MLK Jr Dr & 83rd St","member",43
"675","Sacramento Ave & Pershing Rd","member",43
"676","Central Ave & Parker Ave","member",42
"677","Kedzie Ave & Roosevelt Rd","member",42
"678","Spaulding Ave & 16th St","member",42
"679","Cicero Ave & Lake St","member",41
"680","Greenwood Ave & 79th St","member",41
"681","Marshfield Ave & 59th St","member",41
"682","Western Ave & 111th St","member",41
"683","Ashland Ave & 74th St","member",40
"684","Cottage Grove Ave & 71st St","member",40
"685","Whipple/Irving Park","member",40
"686","Dauphin Ave & 87th St","member",39
"687","Latrobe Ave & Chicago Ave","member",39
"688","Lawndale Ave & 16th St","member",39
"689","Summit Ave & 86th St","member",39
"690","Loomis Blvd & 84th St","member",38
"691","Halsted St & 73rd St","member",36
"692","Jeffery Blvd & 76th St","member",36
"693","Major Taylor Trail & 124th St","member",36
"694","Western Ave & Ardmore Ave","member",36
"695","Stony Island Ave & South Chicago Ave","member",35
"696","Burnham Greenway & 105th St","member",34
"697","Indiana Ave & 103rd St","member",34
"698","Monticello Ave & Chicago Ave","member",33
"699","Vincennes Ave & 75th St","member",33
"700","Western Ave & 62nd St","member",33
"701","Ashland Ave & 66th St","member",32
"702","Cicero Ave & Grace St","member",32
"703","Cicero Ave & Wrightwood Ave","member",32
"704","Racine Ave & 61st St","member",32
"705","Damen Ave & 33rd St","member",31
"706","Kenton Ave & Madison St","member",31
"707","Oglesby Ave & 100th St","member",31
"708","Phillips Ave & 83rd St","member",31
"709","Richmond St & Lincoln Ave","member",31
"710","Central Park Ave & Ohio St","member",30
"711","Laramie Ave & Gladys Ave","member",30
"712","Vernon Ave & 75th St","member",30
"713","Clyde Ave & 87th St","member",29
"714","Damen Ave & 59th St","member",29
"715","Halsted St & 78th St","member",29
"716","Karlov Ave & Madison St","member",29
"717","Kedzie Ave & 57th St","member",29
"718","Kildare Ave & Division St","member",29
"719","North Ave & New England Ave","member",29
"720","Stewart Ave & 83rd St","member",29
"721","Harlem Ave & Grace St","member",28
"722","Lamon Ave & Armitage Ave","member",28
"723","Maryland Ave & 104th St","member",28
"724","Sayre & Diversey","member",28
"725","W 103rd St & S Avers Ave","member",28
"726","Ellis Ave & 83rd St","member",27
"727","Kedzie Ave & 110th St","member",27
"728","Kilpatrick Ave & Grand Ave","member",27
"729","Perry Ave & 69th St","member",27
"730","Homan Ave & Fillmore St","member",26
"731","Kenton Ave & Palmer St","member",26
"732","Marquette Ave & 89th St","member",26
"733","Mason Ave & Belmont Ave","member",26
"734","Springfield Ave & 47th St","member",26
"735","Woodlawn & 103rd - Olive Harvey Vaccination Site","member",26
"736","Artesian Ave & 55th St","member",25
"737","Campbell Ave & Irving Park Rd","member",25
"738","Dauphin Ave & 103rd St","member",25
"739","Halsted St & 56th St","member",25
"740","Roscoe & Harlem","member",25
"741","South Chicago Ave & 83rd St","member",25
"742","Tripp Ave & 65th St","member",25
"743","Wentworth Ave & 104th St","member",25
"744","Avenue O & 134th St","member",24
"745","Bennett Ave & 79th St","member",24
"746","Cicero Ave & Quincy St","member",24
"747","Hoyne Ave & 34th St","member",24
"748","Wabash Ave & 83rd St","member",24
"749","Homewood Ave & 115th St","member",23
"750","Lawndale Ave & 111th St","member",23
"751","Pulaski & Ann Lurie Pl","member",23
"752","Ashland Ave & Garfield Blvd","member",22
"753","Constance Ave & 95th St","member",22
"754","N Clark St & W Elm St","member",22
"755","Olive Harvey College","member",22
"756","Spaulding Ave & 63rd St","member",22
"757","Central Park Ave & Douglas Blvd","member",21
"758","Elizabeth St & 59th St","member",21
"759","Harding Ave & 26th St","member",21
"760","Lamon Ave & Chicago Ave","member",21
"761","Commercial Ave & 130th St","member",20
"762","Hegewisch Metra Station","member",20
"763","Michigan Ave & 71st St","member",20
"764","Elizabeth St & 47th St","member",19
"765","Hamlin Ave & Fullerton Ave","member",19
"766","Milwaukee Ave & Diversey Ave","member",19
"767","Throop St & 52nd St","member",19
"768","Washtenaw Ave & Peterson Ave","member",19
"769","Avenue O & 118th St","member",18
"770","Eberhart Ave & 131st St","member",18
"771","Halsted St & 59th St","member",18
"772","Halsted St & 69th St","member",18
"773","Lavergne Ave & 46th St","member",18
"774","Mozart St & Jackson Blvd","member",18
"775","Tripp Ave & 31st St","member",18
"776","Western Ave & Jarvis Ave","member",18
"777","Calumet Ave & 71st St","member",17
"778","Carpenter St & 63rd St","member",17
"779","South Chicago Ave & Elliot Ave","member",17
"780","Albany Ave & 16th St","member",16
"781","California & 16th St","member",16
"782","Campbell Ave & 51st St","member",16
"783","Eggleston Ave & 69th St","member",16
"784","Loomis St & 89th St","member",16
"785","Major Ave & Bloomingdale Ave","member",16
"786","Pulaski Rd & Fullerton Ave","member",16
"787","Michigan Ave & 114th St","member",15
"788","Oketo Ave & Addison St","member",15
"789","Rhodes Ave & 71st St","member",15
"790","State St & 123rd St","member",15
"791","Washtenaw Ave & Madison St","member",15
"792","Bissell St & Armitage Ave - Charging","member",14
"793","Greenwood Ave & 91st St","member",14
"794","Hyde Park Blvd & 53rd St","member",14
"795","Keeler Ave & Roosevelt Rd","member",14
"796","Lawndale Ave & 30th St","member",14
"797","Parkside Ave & Armitage Ave","member",14
"798","Pulaski Rd & 44th St","member",14
"799","Racine Ave & 65th St","member",14
"800","State St & 76th St","member",14
"801","Augusta Blvd & Laramie Ave","member",13
"802","Bloomingdale Ave & Harlem Ave","member",13
"803","Kedzie Ave & 104th St","member",13
"804","Kenneth Ave & 50th St","member",13
"805","Kostner Ave & 63rd St","member",13
"806","Kostner Ave & Lake St","member",13
"807","La Villita Park (Albany/30th)","member",13
"808","Monticello Ave & Belmont Ave","member",13
"809","Seeley Ave & Garfield Blvd","member",13
"810","St Louis Ave & 59th St","member",13
"811","Damen Ave & 51st St","member",12
"812","Hamlin Ave & Montrose Ave","member",12
"813","Hyde Park Blvd & 55th St","member",12
"814","Plainfield & Irving Park","member",12
"815","St Louis Ave & Norman Bobbins Ave","member",12
"816","Torrence Ave & 126th Pl","member",12
"817","Wilton Ave & Diversey Pkwy - Charging","member",12
"818","Woodlawn Ave & 75th St","member",12
"819","Bradley Park","member",11
"820","Burnham Greenway & 112th St","member",11
"821","Keystone Ave & North Ave","member",11
"822","Kildare Ave & Chicago Ave","member",11
"823","Komensky Ave & 55th St","member",11
"824","Menard Ave & Division St","member",11
"825","Pulaski Rd & 60th St","member",11
"826","Rockwell St & 57th St","member",11
"827","S Wentworth Ave & W 111th St","member",11
"828","Spaulding Ave & Evergreen Ave","member",11
"829","Steelworkers Park","member",11
"830","Panama Ave & Grace St","member",10
"831","Shabbona Park","member",10
"832","Torrence Ave & 106th St","member",10
"833","Washtenaw Ave & Superior St","member",10
"834","Elizabeth St & 92nd St","member",9
"835","Lawndale Ave & Diversey Ave","member",9
"836","Milwaukee Ave & Haussen Ct","member",9
"837","WEST CHI-WATSON","member",9
"838","Doty Ave & 111th St","member",8
"839","Francisco Ave & 47th St","member",8
"840","Kedzie Ave & 45th St","member",8
"841","Kildare Ave & 26th St","member",8
"842","Maplewood Ave & 59th St","member",8
"843","Mozart Elementary School","member",8
"844","N Shore Channel Trail & Argyle Ave","member",8
"845","Base - 2132 W Hubbard","member",7
"846","Homan Ave & 65th St","member",7
"847","Long Ave & North Ave","member",7
"848","S Michigan Ave & E 118th St","member",7
"849","Sacramento Blvd & Polk St","member",7
"850","Spaulding Ave & Bryn Mawr Ave","member",7
"851","Tripp Ave & 15th St","member",7
"852","Whipple St & Roosevelt Rd","member",7
"853","Avers Ave & Irving Park Rd","member",6
"854","California Ave & Marquette Rd","member",6
"855","Christiana Ave & Belmont Ave","member",6
"856","Francisco Ave & Hollywood Ave","member",6
"857","Kedzie Ave & 54th St - SW","member",6
"858","Kimball Ave & Carmen Ave","member",6
"859","Lavergne Ave & Division St","member",6
"860","Mayfield & Roosevelt Rd","member",6
"861","Midway Orange Line","member",6
"862","Milwaukee Ave & School St","member",6
"863","MTV Hubbard St","member",6
"864","Narragansett Ave & Fullerton Ave","member",6
"865","Rockwell St & 63rd St","member",6
"866","Sacramento Ave & 25th St","member",6
"867","Western Ave & Lake St","member",6
"868","Commercial Ave & 100th St","member",5
"869","Keystone Ave & Irving Park Rd","member",5
"870","Menard Ave & North Ave","member",5
"871","Prairie Ave & 47th St - midblock","member",5
"872","Richmond St & 59th St","member",5
"873","Spaulding Ave & North Ave","member",5
"874","Vernon Ave & 107th St","member",5
"875","Brandon Ave & 91st St","member",4
"876","Fairfield Ave & 44th St","member",4
"877","Laramie Ave & Belmont Ave","member",4
"878","Leamington Ave & Hirsch St","member",4
"879","Pulaski Rd & 51st Rd","member",4
"880","Talman Ave & 51st St - midblock","member",4
"881","Troy Ave & 27th St","member",4
"882","Walden Pkwy & 103rd St","member",4
"883","111th St - Morgan Park Metra","member",3
"884","Altgeld Gardens","member",3
"885","Austin Ave & Wellington Ave - midblock","member",3
"886","California Ave & 29th St","member",3
"887","California Ave & 36th St","member",3
"888","California Ave & Devon Ave - NW","member",3
"889","Central Ave & George St","member",3
"890","Christiana Ave & Archer Ave","member",3
"891","Cottage Grove Ave & 87th St","member",3
"892","Cottage Grove Ave & 98th St","member",3
"893","Hamlin Ave & 62nd Pl","member",3
"894","Harold Washington Park","member",3
"895","Hastings WH 2","member",3
"896","Karlov Ave & Kamerling Ave","member",3
"897","Kildare & Cermak","member",3
"898","Laramie Ave & Grand Ave","member",3
"899","Lincoln Ave & Roscoe St - Charging","member",3
"900","Lowell Ave & Elston Ave","member",3
"901","Milwaukee Ave & Addison St","member",3
"902","Neva Ave & Grand Ave","member",3
"903","Oglesby Ave & 95th St","member",3
"904","Pullman - Walmart","member",3
"905","Rockwell Ave & Touhy Ave","member",3
"906","Sacramento Ave & Devon Ave","member",3
"907","Sacramento Ave & Greenleaf Ave","member",3
"908","Wood St & 103rd St","member",3
"909","Albany Ave & Douglas Blvd","member",2
"910","Ashland Ave & 45th St - midblock south","member",2
"911","Austin Blvd & North Ave","member",2
"912","Avenue L & 114th St","member",2
"913","California Ave & Devon Ave - NE","member",2
"914","California Ave & Ogden Ave","member",2
"915","California Ave & Touhy Ave - NW","member",2
"916","Central Ave & Corcoran Pl","member",2
"917","Chase Ave & Touhy Ave - NE","member",2
"918","Cicero Ave & Roscoe St","member",2
"919","Homewood Ave & Monterey Ave","member",2
"920","Hoyne Ave & 110th Pl","member",2
"921","Kedzie Ave & 58th St","member",2
"922","Kedzie Ave & Archer Ave","member",2
"923","Kedzie Ave & Argyle St","member",2
"924","Kildare Ave & 47th St","member",2
"925","Kildare Ave & 55th St","member",2
"926","Kostner Ave & Armitage Ave","member",2
"927","Laramie Ave & Fullerton Ave","member",2
"928","McCormick Blvd & Devon Ave","member",2
"929","Menard Ave & Grand Ave","member",2
"930","Morgan St & 103rd St","member",2
"931","Newcastle Ave & Belden Ave","member",2
"932","Perry Ave & 108th Pl","member",2
"933","Pulaski Rd & Armitage Ave","member",2
"934","Sawyer Ave & Lawrence Ave","member",2
"935","Stony Is Ave & 73rd St","member",2
"936","Throop/Hastings Mobile Station","member",2
"937","Waller Ave & Chicago Ave","member",2
"938","Western Ave & 79th St","member",2
"939","Yates Blvd & Exchange Ave","member",2
"940","63rd & Western Ave - south corner","member",1
"941","Ashland Ave & 45th St","member",1
"942","Ashland Ave & 71st St","member",1
"943","Austin Ave & Wrightwood Ave","member",1
"944","Avenue J & 112th St","member",1
"945","Avenue M & 132nd St","member",1
"946","Bishop St & 46th St","member",1
"947","Calumet Ave & Garfield Blvd","member",1
"948","Central Ave & North Ave","member",1
"949","Chase Ave & Touhy Ave - NW","member",1
"950","Christiana Ave & 55th St","member",1
"951","Cicero Ave & Altgeld St","member",1
"952","Cottage Grove & 84th St","member",1
"953","Cottage Grove & 86th St","member",1
"954","Cottage Grove Ave & 111th St","member",1
"955","Cottage Grove Ave & 75th St","member",1
"956","Damen Ave & 47th St","member",1
"957","Damen Ave & 74th St","member",1
"958","Evans Ave & 63rd St","member",1
"959","Ewing Ave & 106th St","member",1
"960","Halsted St & 102nd St","member",1
"961","Hamlin Ave & Chicago Ave","member",1
"962","Hamlin Ave & Grand Ave","member",1
"963","Harper Ave & 63rd St","member",1
"964","Indiana Ave & 133rd St","member",1
"965","Karlov Ave & Milwaukee Ave","member",1
"966","Kedvale Ave & Avondale Ave","member",1
"967","Kedzie Ave & 54th St - SE","member",1
"968","Kedzie Ave & 64th St - SW","member",1
"969","Kedzie Ave & Pershing Rd","member",1
"970","Kimbark Ave & 63rd St","member",1
"971","Kolin Ave & Archer Ave","member",1
"972","Lafayette Ave & 95th St","member",1
"973","Latrobe Ave & Lake St","member",1
"974","Lawndale Ave & Polk St","member",1
"975","Linder Ave & Belmont Ave","member",1
"976","Longwood Dr & 95th St","member",1
"977","Lorel Ave & Chicago Ave","member",1
"978","Lyft Driver Center Private Rack","member",1
"979","McVicker Ave & Grand Ave","member",1
"980","Michigan Ave & 113th St","member",1
"981","Newland Ave & Diversey Ave","member",1
"982","Pulaski & 52nd","member",1
"983","Racine Ave & 109th Pl","member",1
"984","Sawyer Ave & Bryn Mawr Ave - SE","member",1
"985","State St & 47th st","member",1
"986","Stony Island Ave & 86th St","member",1
"987","Western Ave & 92nd Pl","member",1
"988","Whipple St & Irving Park Rd","member",1
