"","start_station_name","member_casual","num_of_rides"
"220","Loomis St & Jackson Blvd","member",4942
"221","Clark St & Bryn Mawr Ave","member",4879
"222","Dearborn St & Van Buren St","member",4871
"223","Adler Planetarium","member",4817
"224","Clybourn Ave & Division St","member",4790
"225","Calumet Ave & 33rd St","member",4758
"226","Broadway & Ridge Ave","member",4702
"227","Wood St & Chicago Ave","member",4690
"228","Shedd Aquarium","member",4678
"229","Clinton St & Roosevelt Rd","member",4663
"230","Larrabee St & North Ave","member",4620
"231","Emerald Ave & 31st St","member",4591
"232","Lakefront Trail & Wilson Ave","member",4590
"233","Ellis Ave & 53rd St","member",4582
"234","Racine Ave & 18th St","member",4480
"235","Lake Park Ave & 56th St","member",4447
"236","Racine Ave & Congress Pkwy","member",4430
"237","Marine Dr & Ainslie St","member",4394
"238","Western Ave & Fillmore St","member",4389
"239","Broadway & Thorndale Ave","member",4350
"240","DuSable Lake Shore Dr & Ohio St","member",4328
"241","Ashland Ave & Grace St","member",4310
"242","Broadway & Granville Ave","member",4303
"243","Fort Dearborn Dr & 31st St","member",4294
"244","Western Ave & Leland Ave","member",4285
"245","Clarendon Ave & Leland Ave","member",4276
"246","Halsted St & Roosevelt Rd","member",4263
"247","State St & Harrison St","member",4209
"248","Elizabeth (May) St & Fulton St","member",4197
"249","Larrabee St & Menomonee St","member",4183
"250","Greenview Ave & Diversey Pkwy","member",4182
"251","Clark St & Montrose Ave","member",4176
"252","Damen Ave & Leland Ave","member",4116
"253","Ashland Ave & Wellington Ave","member",4109
"254","Michigan Ave & Jackson Blvd","member",4104
"255","Sheridan Rd & Lawrence Ave","member",4094
"256","Delano Ct & Roosevelt Rd","member",4045
"257","Western Ave & Walton St","member",3988
"258","Ashland Ave & Wrightwood Ave","member",3966
"259","Wentworth Ave & Cermak Rd","member",3945
"260","Clark St & 9th St (AMLI)","member",3933
"261","Wood St & Augusta Blvd","member",3931
"262","Lincoln Ave & Belle Plaine Ave","member",3910
"263","Winthrop Ave & Lawrence Ave","member",3880
"264","Clark St & Ida B Wells Dr","member",3850
"265","Logan Blvd & Elston Ave","member",3778
"266","Ashland Ave & Grand Ave","member",3777
"267","Lincoln Ave & Sunnyside Ave","member",3748
"268","Leavitt St & North Ave","member",3744
"269","Ravenswood Ave & Irving Park Rd","member",3725
"270","Canal St & Taylor St","member",3689
"271","Morgan Ave & 14th Pl","member",3666
"272","Lake Park Ave & 53rd St","member",3553
"273","Benson Ave & Church St","member",3552
"274","Racine Ave & Washington Blvd","member",3549
"275","Damen Ave & Grand Ave","member",3462
"276","Racine Ave & Randolph St","member",3425
"277","LaSalle St & Adams St","member",3409
"278","Seeley Ave & Roscoe St","member",3400
"279","Leavitt St & Armitage Ave","member",3394
"280","Harper Ave & 59th St","member",3380
"281","Wolcott (Ravenswood) Ave & Montrose Ave","member",3375
"282","Blue Island Ave & 18th St","member",3350
"283","Orleans St & Elm St","member",3335
"284","Damen Ave & Charleston St","member",3284
"285","Sedgwick St & Schiller St","member",3272
"286","Campbell Ave & North Ave","member",3244
"287","State St & 35th St","member",3197
"288","Lincoln Ave & Waveland Ave","member",3189
"289","Morgan St & 18th St","member",3187
"290","Sheridan Rd & Noyes St (NU)","member",3178
"291","California Ave & Cortez St","member",3096
"292","Rhodes Ave & 32nd St","member",3088
"293","Western Ave & Division St","member",3069
"294","Indiana Ave & 31st St","member",3022
"295","Damen Ave & Clybourn Ave","member",3006
"296","Leavitt St & Division St","member",2999
"297","Wood St & Hubbard St","member",2911
"298","Leavitt St & Chicago Ave","member",2897
"299","Albany Ave & Bloomingdale Ave","member",2851
"300","Ashland Ave & Lake St","member",2844
"301","Lake Shore Dr & Wellington Ave","member",2812
"302","California Ave & North Ave","member",2803
"303","Blackstone Ave & Hyde Park Blvd","member",2784
"304","Ravenswood Ave & Berteau Ave","member",2754
"305","Michigan Ave & Ida B Wells Dr","member",2739
"306","Humboldt Blvd & Armitage Ave","member",2718
"307","Stave St & Armitage Ave","member",2716
"308","Shields Ave & 31st St","member",2689
"309","Damen Ave & Wellington Ave","member",2684
"310","Milwaukee Ave & Rockwell St","member",2662
"311","Lake Shore Dr & Diversey Pkwy","member",2654
"312","Western Ave & Congress Pkwy","member",2646
"313","Glenwood Ave & Morse Ave","member",2613
"314","Lake Shore Dr & Monroe St","member",2594
"315","Kedzie Ave & Palmer Ct","member",2556
"316","Sheridan Rd & Loyola Ave","member",2553
"317","Artesian Ave & Hubbard St","member",2523
"318","Leavitt St & Belmont Ave","member",2523
"319","Sheridan Rd & Columbia Ave","member",2518
"320","Lake Shore Dr & Belmont Ave","member",2516
"321","McClurg Ct & Ohio St","member",2515
"322","State St & Chicago Ave","member",2487
"323","Paulina St & 18th St","member",2431
"324","Clinton St & Tilden St","member",2426
"325","Damen Ave & Foster Ave","member",2426
"326","Morgan St & 31st St","member",2423
"327","Damen Ave & Sunnyside Ave","member",2384
"328","Clark St & Elmdale Ave","member",2347
"329","Cannon Dr & Fullerton Ave","member",2338
"330","Chicago Ave & Washington St","member",2283
"331","Campbell Ave & Montrose Ave","member",2280
"332","Paulina St & Montrose Ave","member",2276
"333","Rockwell St & Eastwood Ave","member",2247
"334","Ogden Ave & Congress Pkwy","member",2243
"335","California Ave & Altgeld St","member",2227
"336","Canal St & Harrison St","member",2227
"337","Chicago Ave & Sheridan Rd","member",2213
"338","Greenview Ave & Jarvis Ave","member",2210
"339","California Ave & Francis Pl (Temp)","member",2206
"340","Hermitage Ave & Polk St","member",2194
"341","Winchester Ave & Elston Ave","member",2172
"342","Lake Shore Dr & Ohio St","member",2170
"343","Wentworth Ave & 33rd St","member",2135
"344","Ashland Ave & 13th St","member",2132
"345","Washtenaw Ave & Lawrence Ave","member",2126
"346","Emerald Ave & 28th St","member",2075
"347","Elston Ave & Wabansia Ave","member",2013
"348","Southport Ave & Clark St","member",1993
"349","Clinton St & 18th St","member",1989
"350","Talman Ave & Addison St","member",1984
"351","Museum of Science and Industry","member",1983
"352","Clark St & Schreiber Ave","member",1969
"353","Leavitt St & Lawrence Ave","member",1933
"354","California Ave & Division St","member",1923
"355","Buckingham Fountain","member",1913
"356","Calumet Ave & 21st St","member",1913
"357","Campbell Ave & Fullerton Ave","member",1901
"358","Damen Ave & Melrose Ave","member",1873
"359","Racine Ave & 15th St","member",1855
"360","University Library (NU)","member",1854
"361","California Ave & Montrose Ave","member",1842
"362","N Green St & W Lake St","member",1821
"363","Lincoln Ave & Addison St","member",1812
"364","Clark St & Lunt Ave","member",1806
"365","Spaulding Ave & Armitage Ave","member",1778
"366","Clark St & Columbia Ave","member",1750
"367","Wallace St & 35th St","member",1744
"368","Damen Ave & Madison St","member",1737
"369","Ashland Ave & Belle Plaine Ave","member",1729
"370","Indiana Ave & 26th St","member",1721
"371","California Ave & Fletcher St","member",1688
"372","Damen Ave & Walnut (Lake) St","member",1682
"373","Leavitt St & Addison St","member",1681
"374","Eastlake Ter & Rogers Ave","member",1652
"375","Western Ave & Roscoe St","member",1626
"376","Wabash Ave & Cermak Rd","member",1619
"377","Field Museum","member",1612
"378","Damen Ave & Cullerton St","member",1602
"379","State St & 19th St","member",1585
"380","Halsted St & North Branch St","member",1571
"381","St. Louis Ave & Fullerton Ave","member",1560
"382","Smith Park","member",1556
"383","Western Ave & Monroe St","member",1556
"384","Lincoln Ave & Winona St","member",1520
"385","Calumet Ave & 35th St","member",1485
"386","Paulina St & Howard St","member",1484
"387","Hoyne Ave & Balmoral Ave","member",1475
"388","Manor Ave & Leland Ave","member",1467
"389","Laflin St & Cullerton St","member",1430
"390","Francisco Ave & Foster Ave","member",1429
"391","Claremont Ave & Hirsch St","member",1427
"392","Oakley Ave & Irving Park Rd","member",1388
"393","Troy St & North Ave","member",1350
"394","Central Park Ave & Bloomingdale Ave","member",1341
"395","Glenwood Ave & Touhy Ave","member",1300
"396","Shields Ave & 28th Pl","member",1295
"397","May St & Cullerton St","member",1290
"398","Cherry Ave & Blackhawk St","member",1282
"399","Winchester (Ravenswood) Ave & Balmoral Ave","member",1281
"400","Lake Park Ave & 47th St","member",1266
"401","Albany Ave & Montrose Ave","member",1261
"402","Kimball Ave & Belmont Ave","member",1260
"403","Troy St & Elston Ave","member",1258
"404","Central Park Ave & Elbridge Ave","member",1254
"405","Halsted St & 35th St","member",1244
"406","California Ave & Byron St","member",1232
"407","Richmond St & Diversey Ave","member",1217
"408","McCormick Place","member",1188
"409","Wells St & 19th St","member",1174
"410","Halsted St & Archer Ave","member",1158
"411","Spaulding Ave & Division St","member",1154
"412","Sheridan Rd & Greenleaf Ave","member",1151
"413","Halsted St & 18th St","member",1140
"414","Wentworth Ave & 35th St","member",1084
"415","Western Ave & 21st St","member",1074
"416","Avers Ave & Belmont Ave","member",1046
"417","W Oakdale Ave & N Broadway","member",1041
"418","Greenwood Ave & 47th St","member",1034
"419","Halsted St & 18th St (Temp)","member",1028
"420","Western Ave & Lunt Ave","member",975
"421","Malcolm X College Vaccination Site","member",971
"422","Christiana Ave & Lawrence Ave","member",965
"423","Normal Ave & Archer Ave","member",951
"424","Wentworth Ave & 24th St (Temp)","member",939
"425","Lake Park Ave & 35th St","member",926
"426","W Armitage Ave & N Sheffield Ave","member",911
"427","Kosciuszko Park","member",907
"428","Halsted St & 21st St","member",889
"429","Woodlawn Ave & Lake Park Ave","member",880
"430","Damen Ave & Wabansia Ave","member",860
"431","Dorchester Ave & 49th St","member",859
"432","Evanston Civic Center","member",857
"433","Bernard St & Elston Ave","member",850
"434","Clark St & Touhy Ave","member",849
"435","Clark St & Jarvis Ave","member",847
"436","Loomis St & Archer Ave","member",846
"437","Avondale Ave & Irving Park Rd","member",842
"438","Ogden Ave & Roosevelt Rd","member",835
"439","Drake Ave & Montrose Ave","member",823
"440","Hampden Ct & Diversey Ave","member",822
"441","Elmwood Ave & Austin St","member",785
"442","Prairie Ave & Garfield Blvd","member",784
"443","Central St Metra","member",763
"444","South Shore Dr & 71st St","member",753
"445","Morgan St & Lake St*","member",732
"446","Kedzie Ave & Leland Ave","member",705
"447","California Ave & 21st St","member",703
"448","Warren Park East","member",698
"449","Western Ave & Granville Ave","member",696
"450","Monticello Ave & Irving Park Rd","member",691
"451","Bissell St & Armitage Ave*","member",656
"452","Bosworth Ave & Howard St","member",655
"453","Clinton St & Polk St","member",646
"454","Racine Ave & 35th St","member",642
"455","Western Ave & 24th St","member",635
"456","Budlong Woods Library","member",624
"457","Drake Ave & Addison St","member",623
"458","State St & 29th St","member",615
"459","Kedzie Ave & Foster Ave","member",610
"460","Valli Produce - Evanston Plaza","member",607
"461","Cottage Grove Ave & Oakwood Blvd","member",600
"462","Washtenaw Ave & Ogden Ave","member",590
"463","California Ave & 23rd Pl","member",585
"464","Cottage Grove Ave & 47th St","member",577
"465","N Carpenter St & W Lake St","member",574
"466","Central St & Girard Ave","member",572
"467","Green St & Randolph St*","member",567
"468","Ridge Blvd & Howard St","member",566
"469","St. Louis Ave & Balmoral Ave","member",566
"470","Milwaukee Ave & Cuyler Ave","member",559
"471","Kedzie Ave & Bryn Mawr Ave","member",558
"472","Racine Ave & 13th St","member",556
"473","Ashland Ave & Archer Ave","member",552
"474","2112 W Peterson Ave","member",546
"475","Chicago State University","member",546
"476","DuSable Museum","member",539
"477","Dodge Ave & Church St","member",537
"478","MLK Jr Dr & Pershing Rd","member",533
"479","63rd St Beach","member",530
"480","Western Ave & Howard St","member",498
"481","California Ave & Lake St","member",487
"482","Leavitt St & Archer Ave","member",473
"483","Cottage Grove Ave & 51st St","member",472
"484","Sawyer Ave & Irving Park Rd","member",467
"485","Warren Park West","member",450
"486","Cottage Grove Ave & 43rd St","member",449
"487","Cottage Grove Ave & 63rd St","member",447
"488","N Sheffield Ave & W Wellington Ave","member",446
"489","South Shore Dr & 67th St","member",441
"490","Base - 2132 W Hubbard Warehouse","member",439
"491","Halsted St & 47th Pl","member",434
"492","Lincoln Ave & Roscoe St*","member",432
"493","Lincolnwood Dr & Central St","member",418
"494","Wood St & 35th St","member",418
"495","Central Ave & Chicago Ave","member",401
"496","Central Park Ave & North Ave","member",395
"497","Milwaukee Ave & Fullerton Ave","member",380
"498","Calumet Ave & 51st St","member",378
"499","Keystone Ave & Montrose Ave","member",378
"500","Halsted St & 37th St","member",376
"501","Kildare Ave & Montrose Ave","member",374
"502","Fairfield Ave & Roosevelt Rd","member",361
"503","Marshfield Ave & 44th St","member",358
"504","Ridge Blvd & Touhy Ave","member",342
"505","Keystone Ave & Fullerton Ave","member",334
