"","start_station_name","member_casual","num_of_rides"
"214","LaSalle St & Jackson Blvd","casual",3302
"215","Desplaines St & Jackson Blvd","casual",3286
"216","Cornell Ave & Hyde Park Blvd","casual",3280
"217","Wabash Ave & 16th St","casual",3280
"218","Delano Ct & Roosevelt Rd","casual",3258
"219","Lake Shore Dr & Belmont Ave","casual",3258
"220","Larrabee St & North Ave","casual",3258
"221","Ashland Ave & Wrightwood Ave","casual",3253
"222","Damen Ave & Charleston St","casual",3184
"223","Lake Park Ave & 53rd St","casual",3176
"224","Ada St & Washington Blvd","casual",3164
"225","Museum of Science and Industry","casual",3101
"226","Ashland Ave & Grace St","casual",3095
"227","Broadway & Granville Ave","casual",3093
"228","Fairbanks St & Superior St","casual",3081
"229","Ellis Ave & 55th St","casual",3059
"230","Ashland Ave & Grand Ave","casual",3009
"231","Racine Ave & 18th St","casual",3009
"232","Logan Blvd & Elston Ave","casual",3001
"233","Broadway & Berwyn Ave","casual",2987
"234","Jefferson St & Monroe St","casual",2980
"235","Clarendon Ave & Leland Ave","casual",2976
"236","Halsted St & Maxwell St","casual",2947
"237","Lake Shore Dr & Wellington Ave","casual",2941
"238","900 W Harrison St","casual",2913
"239","Ashland Ave & Lake St","casual",2891
"240","Southport Ave & Irving Park Rd","casual",2891
"241","Broadway & Thorndale Ave","casual",2865
"242","Winthrop Ave & Lawrence Ave","casual",2842
"243","Western Ave & Division St","casual",2807
"244","Clark St & Bryn Mawr Ave","casual",2804
"245","Canal St & Monroe St","casual",2766
"246","Wood St & Chicago Ave","casual",2765
"247","Loomis St & Lexington St","casual",2757
"248","Wacker Dr & Washington St","casual",2754
"249","Sheridan Rd & Noyes St (NU)","casual",2738
"250","Seeley Ave & Roscoe St","casual",2729
"251","Clark St & 9th St (AMLI)","casual",2713
"252","Broadway & Ridge Ave","casual",2691
"253","Ashland Ave & Augusta Blvd","casual",2690
"254","Chicago Ave & Sheridan Rd","casual",2676
"255","Sedgwick St & Schiller St","casual",2651
"256","California Ave & Cortez St","casual",2643
"257","Blue Island Ave & 18th St","casual",2620
"258","Financial Pl & Ida B Wells Dr","casual",2594
"259","Leavitt St & Armitage Ave","casual",2591
"260","Damen Ave & Grand Ave","casual",2590
"261","Sheridan Rd & Lawrence Ave","casual",2516
"262","Benson Ave & Church St","casual",2515
"263","Western Ave & Leland Ave","casual",2511
"264","California Ave & North Ave","casual",2510
"265","Albany Ave & Bloomingdale Ave","casual",2501
"266","Woodlawn Ave & 55th St","casual",2463
"267","Spaulding Ave & Armitage Ave","casual",2452
"268","LaSalle St & Adams St","casual",2448
"269","Damen Ave & Wellington Ave","casual",2436
"270","California Ave & Francis Pl (Temp)","casual",2421
"271","May St & Taylor St","casual",2409
"272","Larrabee St & Oak St","casual",2407
"273","Canal St & Taylor St","casual",2403
"274","Clybourn Ave & Division St","casual",2401
"275","Clark St & Montrose Ave","casual",2388
"276","Lake Park Ave & 56th St","casual",2366
"277","Racine Ave & Randolph St","casual",2363
"278","Wood St & Augusta Blvd","casual",2355
"279","Stave St & Armitage Ave","casual",2348
"280","Milwaukee Ave & Rockwell St","casual",2320
"281","Morgan St & 18th St","casual",2238
"282","Calumet Ave & 21st St","casual",2226
"283","Lincoln Ave & Belle Plaine Ave","casual",2217
"284","Orleans St & Elm St","casual",2211
"285","Kedzie Ave & Palmer Ct","casual",2210
"286","Elizabeth (May) St & Fulton St","casual",2199
"287","Ashland Ave & Wellington Ave","casual",2194
"288","Sheridan Rd & Loyola Ave","casual",2190
"289","Halsted St & Polk St","casual",2187
"290","California Ave & Division St","casual",2160
"291","Canal St & Jackson Blvd","casual",2154
"292","Loomis St & Jackson Blvd","casual",2126
"293","Racine Ave & Washington Blvd","casual",2125
"294","California Ave & Altgeld St","casual",2117
"295","Larrabee St & Menomonee St","casual",2097
"296","Wabash Ave & Cermak Rd","casual",2079
"297","Lake Park Ave & 35th St","casual",2078
"298","Leavitt St & Chicago Ave","casual",2069
"299","Blackstone Ave & Hyde Park Blvd","casual",2061
"300","Damen Ave & Clybourn Ave","casual",2019
"301","Leavitt St & Belmont Ave","casual",1989
"302","Ravenswood Ave & Irving Park Rd","casual",1961
"303","Leavitt St & Division St","casual",1957
"304","Damen Ave & Melrose Ave","casual",1943
"305","Morgan St & Polk St","casual",1923
"306","Wood St & Hubbard St","casual",1887
"307","Clark St & Ida B Wells Dr","casual",1886
"308","Paulina St & Flournoy St","casual",1862
"309","Lincoln Ave & Waveland Ave","casual",1860
"310","Paulina St & 18th St","casual",1860
"311","Damen Ave & Leland Ave","casual",1836
"312","Lincoln Ave & Sunnyside Ave","casual",1822
"313","Ellis Ave & 53rd St","casual",1812
"314","Wolcott (Ravenswood) Ave & Montrose Ave","casual",1781
"315","Campbell Ave & Fullerton Ave","casual",1780
"316","California Ave & Fletcher St","casual",1774
"317","Troy St & North Ave","casual",1774
"318","Lincoln Ave & Addison St","casual",1758
"319","Central Park Ave & Bloomingdale Ave","casual",1734
"320","Damen Ave & Foster Ave","casual",1724
"321","Winchester Ave & Elston Ave","casual",1714
"322","N Green St & W Lake St","casual",1689
"323","Ellis Ave & 58th St","casual",1680
"324","Glenwood Ave & Morse Ave","casual",1674
"325","McClurg Ct & Ohio St","casual",1660
"326","Damen Ave & Madison St","casual",1632
"327","MLK Jr Dr & 29th St","casual",1615
"328","Wolcott Ave & Polk St","casual",1540
"329","Elston Ave & Wabansia Ave","casual",1526
"330","State St & 19th St","casual",1520
"331","Throop St & Taylor St","casual",1507
"332","St. Louis Ave & Fullerton Ave","casual",1505
"333","Racine Ave & Congress Pkwy","casual",1504
"334","Ashland Ave & Belle Plaine Ave","casual",1499
"335","Wells St & 19th St","casual",1477
"336","Sheridan Rd & Columbia Ave","casual",1469
"337","Southport Ave & Clark St","casual",1447
"338","University Library (NU)","casual",1428
"339","State St & 33rd St","casual",1420
"340","Damen Ave & Walnut (Lake) St","casual",1417
"341","Racine Ave & 15th St","casual",1378
"342","Talman Ave & Addison St","casual",1371
"343","Chicago Ave & Washington St","casual",1357
"344","Claremont Ave & Hirsch St","casual",1357
"345","Emerald Ave & 31st St","casual",1353
"346","Paulina St & Montrose Ave","casual",1325
"347","Lake Park Ave & 47th St","casual",1321
"348","Damen Ave & Cullerton St","casual",1316
"349","Laflin St & Cullerton St","casual",1291
"350","Richmond St & Diversey Ave","casual",1277
"351","Clark St & Elmdale Ave","casual",1275
"352","Clinton St & Tilden St","casual",1273
"353","Damen Ave & Sunnyside Ave","casual",1262
"354","Halsted St & Roosevelt Rd","casual",1258
"355","Morgan St & 31st St","casual",1252
"356","Rhodes Ave & 32nd St","casual",1249
"357","Kimball Ave & Belmont Ave","casual",1230
"358","Kosciuszko Park","casual",1228
"359","Leavitt St & Addison St","casual",1223
"360","Harper Ave & 59th St","casual",1202
"361","63rd St Beach","casual",1200
"362","W Oakdale Ave & N Broadway","casual",1195
"363","California Ave & Montrose Ave","casual",1182
"364","Avers Ave & Belmont Ave","casual",1178
"365","Western Ave & Roscoe St","casual",1157
"366","Halsted St & 21st St","casual",1154
"367","State St & Chicago Ave","casual",1144
"368","Central Park Ave & Elbridge Ave","casual",1142
"369","Clark St & Schreiber Ave","casual",1139
"370","Ravenswood Ave & Berteau Ave","casual",1136
"371","Spaulding Ave & Division St","casual",1135
"372","California Ave & Byron St","casual",1110
"373","Clinton St & 18th St","casual",1109
"374","Western Ave & Congress Pkwy","casual",1100
"375","Washtenaw Ave & Lawrence Ave","casual",1099
"376","Sheridan Rd & Greenleaf Ave","casual",1089
"377","State St & 35th St","casual",1083
"378","Troy St & Elston Ave","casual",1068
"379","Greenwood Ave & 47th St","casual",1065
"380","Halsted St & North Branch St","casual",1063
"381","Oakley Ave & Irving Park Rd","casual",1062
"382","Morgan Ave & 14th Pl","casual",1056
"383","Canal St & Harrison St","casual",1054
"384","Leavitt St & Lawrence Ave","casual",1042
"385","Western Ave & Fillmore St","casual",1039
"386","Clark St & Lunt Ave","casual",1029
"387","Paulina St & Howard St","casual",1010
"388","Indiana Ave & 31st St","casual",1009
"389","Malcolm X College Vaccination Site","casual",1005
"390","Wood St & Taylor St (Temp)","casual",1005
"391","May St & Cullerton St","casual",991
"392","Wentworth Ave & 24th St (Temp)","casual",988
"393","Lincoln Ave & Winona St","casual",985
"394","Wentworth Ave & 35th St","casual",964
"395","Greenview Ave & Jarvis Ave","casual",958
"396","Cottage Grove Ave & Oakwood Blvd","casual",944
"397","Avondale Ave & Irving Park Rd","casual",933
"398","Indiana Ave & 26th St","casual",921
"399","Smith Park","casual",921
"400","Hoyne Ave & Balmoral Ave","casual",910
"401","Halsted St & Archer Ave","casual",907
"402","Halsted St & 35th St","casual",905
"403","Artesian Ave & Hubbard St","casual",901
"404","Glenwood Ave & Touhy Ave","casual",895
"405","Wentworth Ave & 33rd St","casual",884
"406","Francisco Ave & Foster Ave","casual",876
"407","Rockwell St & Eastwood Ave","casual",870
"408","Central Park Ave & North Ave","casual",864
"409","Calumet Ave & 33rd St","casual",842
"410","Albany Ave & Montrose Ave","casual",839
"411","South Shore Dr & 71st St","casual",825
"412","Western Ave & Monroe St","casual",822
"413","Evanston Civic Center","casual",820
"414","Halsted St & 18th St (Temp)","casual",802
"415","Winchester (Ravenswood) Ave & Balmoral Ave","casual",791
"416","Damen Ave & Wabansia Ave","casual",789
"417","Monticello Ave & Irving Park Rd","casual",782
"418","Woodlawn Ave & Lake Park Ave","casual",781
"419","Campbell Ave & Montrose Ave","casual",779
"420","Christiana Ave & Lawrence Ave","casual",776
"421","Eastlake Ter & Rogers Ave","casual",776
"422","MLK Jr Dr & Pershing Rd","casual",772
"423","Ogden Ave & Congress Pkwy","casual",772
"424","Prairie Ave & Garfield Blvd","casual",759
"425","Clark St & Columbia Ave","casual",754
"426","Halsted St & 18th St","casual",748
"427","Calumet Ave & 35th St","casual",739
"428","Western Ave & 21st St","casual",735
"429","Calumet Ave & 51st St","casual",734
"430","South Shore Dr & 67th St","casual",719
"431","Ogden Ave & Roosevelt Rd","casual",717
"432","Wallace St & 35th St","casual",717
"433","Warren Park West","casual",716
"434","Cherry Ave & Blackhawk St","casual",715
"435","Kedzie Ave & Leland Ave","casual",714
"436","Western Ave & Granville Ave","casual",702
"437","Cottage Grove Ave & 47th St","casual",669
"438","Sawyer Ave & Irving Park Rd","casual",664
"439","Keystone Ave & Fullerton Ave","casual",657
"440","Cottage Grove Ave & 51st St","casual",656
"441","Central St Metra","casual",640
"442","Ashland Ave & 13th St","casual",635
"443","Emerald Ave & 28th St","casual",635
"444","Racine Ave & 13th St","casual",630
"445","Clinton St & Polk St","casual",624
"446","Prairie Ave & 43rd St","casual",621
"447","Shields Ave & 31st St","casual",619
"448","W Armitage Ave & N Sheffield Ave","casual",616
"449","California Ave & 21st St","casual",614
"450","Bernard St & Elston Ave","casual",610
"451","Conservatory Dr & Lake St","casual",610
"452","Manor Ave & Leland Ave","casual",605
"453","MLK Jr Dr & 47th St","casual",598
"454","Kedzie Ave & Foster Ave","casual",594
"455","Dorchester Ave & 49th St","casual",592
"456","Shields Ave & 28th Pl","casual",584
"457","Central St & Girard Ave","casual",582
"458","Cottage Grove Ave & 63rd St","casual",578
"459","Ashland Ave & Archer Ave","casual",575
"460","Dorchester Ave & 63rd St","casual",572
"461","Washtenaw Ave & Ogden Ave","casual",563
"462","Morgan St & Lake St*","casual",561
"463","California Ave & Lake St","casual",554
"464","Racine Ave & 35th St","casual",543
"465","State St & 95th St","casual",540
"466","Loomis St & Archer Ave","casual",535
"467","Austin Blvd & Lake St","casual",534
"468","N Sheffield Ave & W Wellington Ave","casual",533
"469","Western Ave & Lunt Ave","casual",529
"470","Hampden Ct & Diversey Ave","casual",524
"471","Keystone Ave & Montrose Ave","casual",524
"472","Budlong Woods Library","casual",522
"473","Drake Ave & Montrose Ave","casual",520
"474","Valli Produce - Evanston Plaza","casual",519
"475","Kedzie Ave & Lake St","casual",510
"476","Drake Ave & Addison St","casual",501
"477","Warren Park East","casual",499
